time_s,num_p_n_m,num_p_e_m,num_p_d_m,num_v_n_mps,num_v_e_mps,num_v_d_mps,ana_p_n_m,ana_p_e_m,ana_p_d_m,ana_v_n_mps,ana_v_e_mps,ana_v_d_mps,abs_err_p_n_m,abs_err_p_e_m,abs_err_p_d_m,abs_err_v_n_mps,abs_err_v_e_mps,abs_err_v_d_mps
0.16,0,0,0.12552512000000002,0,0,1.5690640000000005,0,0,0.12552511999999999,0,0,1.569064,0,0,2.7755575615628914e-17,0,0,4.4408920985006262e-16
0.17000000000000001,0,0,0.14170609250000002,0,0,1.6671305000000005,0,0,0.14170609250000002,0,0,1.6671305000000001,0,0,0,0,0,4.4408920985006262e-16
0.17999999999999999,0,0,0.15886773000000001,0,0,1.7651970000000006,0,0,0.15886772999999998,0,0,1.7651969999999999,0,0,2.7755575615628914e-17,0,0,6.6613381477509392e-16
0.19,0,0,0.17701003250000003,0,0,1.8632635000000006,0,0,0.1770100325,0,0,1.8632635,0,0,2.7755575615628914e-17,0,0,6.6613381477509392e-16
0.20000000000000001,0,0,0.19613300000000003,0,0,1.9613300000000007,0,0,0.196133,0,0,1.96133,0,0,2.7755575615628914e-17,0,0,6.6613381477509392e-16
0.20999999999999999,0,0,0.21623663250000003,0,0,2.0593965000000005,0,0,0.21623663249999994,0,0,2.0593964999999996,0,0,8.3266726846886741e-17,0,0,8.8817841970012523e-16
0.22,0,0,0.23732093000000004,0,0,2.1574630000000004,0,0,0.23732092999999999,0,0,2.1574629999999999,0,0,5.5511151231257827e-17,0,0,4.4408920985006262e-16
0.23000000000000001,0,0,0.25938589250000005,0,0,2.2555295000000002,0,0,0.25938589250000005,0,0,2.2555295000000002,0,0,0,0,0,0
0.23999999999999999,0,0,0.28243152000000005,0,0,2.353596,0,0,0.28243151999999994,0,0,2.3535959999999996,0,0,1.1102230246251565e-16,0,0,4.4408920985006262e-16
0.25,0,0,0.30645781250000004,0,0,2.4516624999999999,0,0,0.30645781249999998,0,0,2.4516624999999999,0,0,5.5511151231257827e-17,0,0,0
0.26000000000000001,0,0,0.33146477000000002,0,0,2.5497289999999997,0,0,0.33146477000000002,0,0,2.5497290000000001,0,0,0,0,0,4.4408920985006262e-16
0.27000000000000002,0,0,0.35745239249999999,0,0,2.6477954999999995,0,0,0.35745239249999999,0,0,2.6477955,0,0,0,0,0,4.4408920985006262e-16
0.28000000000000003,0,0,0.38442067999999996,0,0,2.7458619999999994,0,0,0.38442068000000007,0,0,2.7458620000000002,0,0,1.1102230246251565e-16,0,0,8.8817841970012523e-16
0.28999999999999998,0,0,0.41236963249999997,0,0,2.8439284999999992,0,0,0.41236963249999992,0,0,2.8439284999999996,0,0,5.5511151231257827e-17,0,0,4.4408920985006262e-16
0.29999999999999999,0,0,0.44129924999999998,0,0,2.941994999999999,0,0,0.44129924999999998,0,0,2.9419949999999999,0,0,0,0,0,8.8817841970012523e-16
0.31,0,0,0.47120953249999997,0,0,3.0400614999999989,0,0,0.47120953249999997,0,0,3.0400614999999998,0,0,0,0,0,8.8817841970012523e-16
0.32000000000000001,0,0,0.50210047999999996,0,0,3.1381279999999987,0,0,0.50210047999999996,0,0,3.138128,0,0,0,0,0,1.3322676295501878e-15
0.33000000000000002,0,0,0.5339720925,0,0,3.2361944999999985,0,0,0.5339720925,0,0,3.2361944999999999,0,0,0,0,0,1.3322676295501878e-15
0.34000000000000002,0,0,0.56682436999999997,0,0,3.3342609999999984,0,0,0.56682437000000008,0,0,3.3342610000000001,0,0,1.1102230246251565e-16,0,0,1.7763568394002505e-15
0.35000000000000003,0,0,0.60065731249999998,0,0,3.4323274999999982,0,0,0.6006573125000001,0,0,3.4323275,0,0,1.1102230246251565e-16,0,0,1.7763568394002505e-15
0.35999999999999999,0,0,0.63547091999999994,0,0,3.530393999999998,0,0,0.63547091999999994,0,0,3.5303939999999998,0,0,0,0,0,1.7763568394002505e-15
0.37,0,0,0.67126519249999994,0,0,3.6284604999999979,0,0,0.67126519249999994,0,0,3.6284604999999996,0,0,0,0,0,1.7763568394002505e-15
0.38,0,0,0.70804012999999988,0,0,3.7265269999999977,0,0,0.70804012999999999,0,0,3.7265269999999999,0,0,1.1102230246251565e-16,0,0,2.2204460492503131e-15
0.39000000000000001,0,0,0.74579573249999986,0,0,3.8245934999999975,0,0,0.74579573249999997,0,0,3.8245934999999998,0,0,1.1102230246251565e-16,0,0,2.2204460492503131e-15
0.40000000000000002,0,0,0.78453199999999979,0,0,3.9226599999999974,0,0,0.78453200000000001,0,0,3.92266,0,0,2.2204460492503131e-16,0,0,2.6645352591003757e-15
0.41000000000000003,0,0,0.82424893249999975,0,0,4.0207264999999976,0,0,0.82424893250000009,0,0,4.0207265000000003,0,0,3.3306690738754696e-16,0,0,2.6645352591003757e-15
